,title,rating,address,operating_hours,latitude,longitude,Cuisine
95,The Best Taco Food Truck,5.0,"536 Fayette St, Perth Amboy, NJ 08861","{'monday': '10\u202fAM–8\u202fPM', 'tuesday': '9\u202fAM–7:30\u202fPM', 'wednesday': '10\u202fAM–8\u202fPM', 'thursday': '10\u202fAM–8\u202fPM', 'friday': '10\u202fAM–8\u202fPM', 'saturday': '10\u202fAM–8\u202fPM', 'sunday': '10\u202fAM–8\u202fPM'}",40.5159319,-74.2845031,Mexican
96,Tacos el Chicken Food Truck,4.4,"120 Beverley Rd, Brooklyn, NY 11218","{'monday': '12–11\u202fPM', 'tuesday': '12–11\u202fPM', 'wednesday': '12–11\u202fPM', 'thursday': '12–11\u202fPM', 'friday': '12–11\u202fPM', 'saturday': '12–11\u202fPM', 'sunday': '12–11\u202fPM'}",40.6426419,-73.9785831,Mexican
97,El Rey del Taco Truck,4.0,"33-01 30th Ave., Queens, NY 11103","{'monday': '6\u202fPM–2\u202fAM', 'tuesday': '6\u202fPM–2\u202fAM', 'wednesday': '6\u202fPM–2\u202fAM', 'thursday': '6\u202fPM–2\u202fAM', 'friday': '6\u202fPM–4\u202fAM', 'saturday': '6\u202fPM–4\u202fAM', 'sunday': '6\u202fPM–12\u202fAM'}",40.7662279,-73.91933209999999,Mexican
98,Pizza vita (food truck),3.0,"200 Hudson St, Jersey City, NJ 07302","{'monday': '11\u202fAM–10\u202fPM', 'tuesday': '11\u202fAM–10\u202fPM', 'wednesday': '11\u202fAM–10\u202fPM', 'thursday': '11\u202fAM–10\u202fPM', 'friday': '11\u202fAM–10\u202fPM', 'saturday': '11\u202fAM–10\u202fPM', 'sunday': '11\u202fAM–10\u202fPM'}",40.7176484,-74.03350549999999,Fast Food
99,Kabayan Grill Food Truck,3.0,"279 1st Ave., New York, NY 10003","{'monday': '11\u202fAM–9\u202fPM', 'tuesday': '11\u202fAM–9\u202fPM', 'wednesday': '11\u202fAM–9\u202fPM', 'thursday': '11\u202fAM–9\u202fPM', 'friday': '11\u202fAM–9\u202fPM', 'saturday': '11\u202fAM–9\u202fPM', 'sunday': '11\u202fAM–9\u202fPM'}",40.732669099999995,-73.9819424,filipino
101,Chris' Catering Lunch Truck,4.8,"173 Export St, Newark, NJ 07114","{'monday': '5:30\u202fAM–2\u202fPM', 'tuesday': '5:30\u202fAM–2\u202fPM', 'wednesday': '5:30\u202fAM–2\u202fPM', 'thursday': '5:30\u202fAM–2\u202fPM', 'friday': '5:30\u202fAM–2\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.690835199999995,-74.1436591,Fast Food
102,Buona Journata Halal Food Truck,3.8,"2891-2925 Bedford Ave, Brooklyn, NY 11210","{'monday': '6:30\u202fAM–8:30\u202fPM', 'tuesday': '6:30\u202fAM–8:30\u202fPM', 'wednesday': '6:30\u202fAM–8:30\u202fPM', 'thursday': '6:30\u202fAM–8:30\u202fPM', 'friday': '6:30\u202fAM–8:30\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.6315787,-73.9522625,Halal
103,Halal taco truck,2.0,"Wythe Av, N 12th St, Brooklyn, NY 11249",,40.7221428,-73.9574616,Fast Food
105,Mystical Cuisine Halal Food Truck,5.0,"New York, NY 10001","{'monday': 'Open 24 hours', 'tuesday': 'Open 24 hours', 'wednesday': 'Open 24 hours', 'thursday': 'Open 24 hours', 'friday': 'Open 24 hours', 'saturday': 'Open 24 hours', 'sunday': 'Open 24 hours'}",40.750870299999995,-74.0055575,American
107,Famous Halal Food (Food Truck),4.5,"501-513 W 45th St, New York, NY 10036","{'monday': '10\u202fAM–3\u202fAM', 'tuesday': '10\u202fAM–3\u202fAM', 'wednesday': '10\u202fAM–3\u202fAM', 'thursday': '10\u202fAM–3\u202fAM', 'friday': '10\u202fAM–3\u202fAM', 'saturday': '10\u202fAM–3\u202fAM', 'sunday': '10\u202fAM–3\u202fAM'}",40.761736899999995,-73.99423,Fast Food
108,El Tri Mexican Food Truck,4.5,"28-01 Steinway St, Queens, NY 11103","{'monday': '11\u202fAM–4:30\u202fAM', 'tuesday': '11\u202fAM–4:30\u202fAM', 'wednesday': '11\u202fAM–4:30\u202fAM', 'thursday': '11\u202fAM–4:30\u202fAM', 'friday': '11\u202fAM–5\u202fAM', 'saturday': '11\u202fAM–5\u202fAM', 'sunday': 'Closed'}",40.765302399999996,-73.9136068,Mexican
109,El Rey Del Taco Food Truck Ditmars,3.3,"31-01 Ditmars Blvd, Queens, NY 11105",,40.776077,-73.9103059,Mexican
110,Halal Food Truck,2.2,"Grove Street Path Trains, Jersey City, NJ 07302","{'monday': '11\u202fAM–10\u202fPM', 'tuesday': '11\u202fAM–10\u202fPM', 'wednesday': '11\u202fAM–10\u202fPM', 'thursday': '11\u202fAM–10\u202fPM', 'friday': '11\u202fAM–10\u202fPM', 'saturday': '11\u202fAM–10\u202fPM', 'sunday': '11\u202fAM–10\u202fPM'}",40.718996,-74.0408174,Halal
111,Halal Food Truck,3.7,"1119 Bay St, Staten Island, NY 10305","{'monday': '11\u202fAM–10\u202fPM', 'tuesday': '11\u202fAM–10\u202fPM', 'wednesday': '11\u202fAM–10\u202fPM', 'thursday': '11\u202fAM–10\u202fPM', 'friday': '11\u202fAM–10\u202fPM', 'saturday': '11\u202fAM–10\u202fPM', 'sunday': 'Closed'}",40.6159737,-74.0670499,Halal
112,Titos halal food truck,3.9,"107 E Gun Hill Rd, Bronx, NY 10467","{'monday': '8\u202fAM–3\u202fAM', 'tuesday': '8\u202fAM–3\u202fAM', 'wednesday': '8\u202fAM–3\u202fAM', 'thursday': '8\u202fAM–3\u202fAM', 'friday': '8\u202fAM–3\u202fAM', 'saturday': '8\u202fAM–3\u202fAM', 'sunday': '8\u202fAM–3\u202fAM'}",40.8815386,-73.8790511,Halal
113,GiGi Halal Food truck,4.5,"Pavonia Ave, Jersey City, NJ 07306","{'monday': '5–11\u202fPM', 'tuesday': '5–11\u202fPM', 'wednesday': '5–11\u202fPM', 'thursday': '5–11\u202fPM', 'friday': '5–11\u202fPM', 'saturday': '5–11\u202fPM', 'sunday': '5–11\u202fPM'}",40.7344213,-74.0710507,Fast Food
114,Rafiqi’s Food Cart,4.7,"1250 Broadway, New York, NY 10001","{'monday': '11\u202fAM–6:30\u202fPM', 'tuesday': '11\u202fAM–6:30\u202fPM', 'wednesday': '11\u202fAM–6:30\u202fPM', 'thursday': '11\u202fAM–6:30\u202fPM', 'friday': '11\u202fAM–6:30\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.748008299999995,-73.9881473,Halal
115,Madison Halal Food Truck,4.5,"768 6th Ave, New York, NY 10010","{'monday': '6\u202fPM–12\u202fAM', 'tuesday': '6\u202fPM–12\u202fAM', 'wednesday': '6\u202fPM–12\u202fAM', 'thursday': '6\u202fPM–12\u202fAM', 'friday': '6\u202fPM–12\u202fAM', 'saturday': '6\u202fPM–12\u202fAM', 'sunday': '6\u202fPM–12\u202fAM'}",40.7442206,-73.9916289,Halal
116,Tacos Cholula Mexican Food Truck,4.1,"4405 New Utrecht Ave, Brooklyn, NY 11219","{'monday': '2\u202fPM–3\u202fAM', 'tuesday': '2\u202fPM–3\u202fAM', 'wednesday': '2\u202fPM–3\u202fAM', 'thursday': '2\u202fPM–4\u202fAM', 'friday': '2\u202fPM–4\u202fAM', 'saturday': '1\u202fPM–4\u202fAM', 'sunday': '1\u202fPM–3\u202fAM'}",40.6403603,-73.99410209999999,Mexican
117,Tacos El Brother TRUCK,4.5,"512 5th Ave, Brooklyn, NY 11215","{'monday': '11\u202fAM–3\u202fAM', 'tuesday': '11\u202fAM–3\u202fAM', 'wednesday': '11\u202fAM–3\u202fAM', 'thursday': '11\u202fAM–4\u202fAM', 'friday': '11\u202fAM–4\u202fAM', 'saturday': '11\u202fAM–4\u202fAM', 'sunday': '11\u202fAM–4\u202fAM'}",40.6670474,-73.9883626,Mexican
119,baby boss mexican food truck,1.0,"133-20 Roosevelt Ave, Queens, NY 11354","{'monday': '11\u202fAM–3\u202fAM', 'tuesday': '11\u202fAM–3\u202fAM', 'wednesday': '11\u202fAM–3\u202fAM', 'thursday': '11\u202fAM–3\u202fAM', 'friday': '11\u202fAM–4:30\u202fAM', 'saturday': '11\u202fAM–5\u202fAM', 'sunday': '11\u202fAM–3\u202fAM'}",40.7582667,-73.8333238,Mexican
120,Habiba Food Truck,4.3,"31-80 Steinway St, Queens, NY 11103","{'monday': '11\u202fAM–4\u202fAM', 'tuesday': '11\u202fAM–4\u202fAM', 'wednesday': '11\u202fAM–4\u202fAM', 'thursday': '11\u202fAM–4\u202fAM', 'friday': '11\u202fAM–5\u202fAM', 'saturday': '11\u202fAM–5\u202fAM', 'sunday': '11\u202fAM–4\u202fPM'}",40.7594543,-73.91897469999999,Halal
122,Birrieria Estilo Tijuana Food Truck,3.6,"786 Franklin Ave, Brooklyn, NY 11238","{'monday': '12\u202fPM–1\u202fAM', 'tuesday': '12\u202fPM–2\u202fAM', 'wednesday': '12\u202fPM–3\u202fAM', 'thursday': '12\u202fPM–3\u202fAM', 'friday': '12\u202fPM–3\u202fAM', 'saturday': '4\u202fPM–3\u202fAM', 'sunday': '4\u202fPM–1\u202fAM'}",40.6717997,-73.9578484,Mexican
123,Fafu Traditional Chinese Cuisine Food Truck,4.0,"44 West 4th Street, New York, NY 10012",,40.7291433,-73.9962607,Chinese
125,Seraphic Saba Food Truck,5.0,"1980 Hempstead Bethpage Turnpike, East Meadow, NY 11554","{'monday': '4–10:30\u202fPM', 'tuesday': 'Closed', 'wednesday': '4–10:30\u202fPM', 'thursday': '4–10:30\u202fPM', 'friday': '4–10:30\u202fPM', 'saturday': '4–10:30\u202fPM', 'sunday': '4–10:30\u202fPM'}",40.7241807,-73.5637405,Fast Food
126,Yafa Shawarma Food Truck,4.8,"485 Seaview Ave, Staten Island, NY 10305","{'monday': '9\u202fAM–3\u202fAM', 'tuesday': '9\u202fAM–3\u202fAM', 'wednesday': '9\u202fAM–3\u202fAM', 'thursday': '9\u202fAM–3\u202fAM', 'friday': '9\u202fAM–3\u202fAM', 'saturday': '9\u202fAM–3\u202fAM', 'sunday': '9\u202fAM–3\u202fAM'}",40.583541,-74.0858094,Chicken
127,The Mariachi Tacos Food Truck,5.0,"688 E Gun Hill Rd, Bronx, NY 10467","{'monday': '11\u202fAM–9\u202fPM', 'tuesday': '11\u202fAM–9\u202fPM', 'wednesday': '11\u202fAM–9\u202fPM', 'thursday': '11\u202fAM–9\u202fPM', 'friday': '11\u202fAM–9\u202fPM', 'saturday': '11\u202fAM–9\u202fPM', 'sunday': '11\u202fAM–9\u202fPM'}",40.8774666,-73.86766709999999,Mexican
128,Hima Halal Food Truck,4.0,"Eighth Avenue - Fourteenth Street, 300 W 14th St, New York, NY 10014",,40.7397707,-74.0029054,Halal
129,Tacos Al Gusto,4.5,"3394 Broadway, New York, NY 10031","{'monday': 'Closed', 'tuesday': '7\u202fPM–4\u202fAM', 'wednesday': '7\u202fPM–4\u202fAM', 'thursday': '7\u202fPM–4\u202fAM', 'friday': '7\u202fPM–4\u202fAM', 'saturday': '7\u202fPM–4\u202fAM', 'sunday': '7\u202fPM–4\u202fAM'}",40.821796,-73.9535169,Mexican
130,Sammay’s Halal Food Truck,4.2,"Coney Island Ave, Brooklyn, NY 11235","{'monday': '7:30\u202fAM–1\u202fPM', 'tuesday': '7:30\u202fAM–1\u202fPM', 'wednesday': '7:30\u202fAM–1\u202fPM', 'thursday': '7:30\u202fAM–1\u202fPM', 'friday': '7:30\u202fAM–1\u202fPM', 'saturday': '7:30\u202fAM–1\u202fPM', 'sunday': '7:30\u202fAM–1\u202fPM'}",40.5782021,-73.9598345,Halal
132,Japan Express Food Truck,3.3,"1319 York Ave, New York, NY 10021",,40.7658367,-73.9549356,Japanese
133,Vernon Grille Eat Greek To Go ( Food Truck),,"32-62 Westchester Ave, Bronx, NY 10461","{'monday': '10\u202fAM–8\u202fPM', 'tuesday': '10\u202fAM–8\u202fPM', 'wednesday': '10\u202fAM–8\u202fPM', 'thursday': '10\u202fAM–8\u202fPM', 'friday': '10\u202fAM–8\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.8522677,-73.8279611,Greek
134,Mr. Khao Man Gai Food Truck,4.6,"W 45th St, New York, NY 10036","{'monday': '12–3\u202fPM', 'tuesday': '12–3\u202fPM', 'wednesday': '12–3\u202fPM', 'thursday': '12–3\u202fPM', 'friday': '12–3\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.756391199999996,-73.98156879999999,Thai
135,New York Birria - Food Truck,4.7,"201 E 116th St, New York, NY 10029","{'monday': '4–11\u202fPM', 'tuesday': '4–11\u202fPM', 'wednesday': '4–11\u202fPM', 'thursday': '4–11\u202fPM', 'friday': '4–11\u202fPM', 'saturday': '4–11\u202fPM', 'sunday': '4–11\u202fPM'}",40.7980228,-73.9396725,Mexican
137,Lomo Truck HQ Woodland Park,3.9,"952 McBride Ave, Woodland Park, NJ 07424","{'monday': '10:15\u202fAM–9:30\u202fPM', 'tuesday': '10:15\u202fAM–9:30\u202fPM', 'wednesday': '10:15\u202fAM–9:30\u202fPM', 'thursday': '10:15\u202fAM–9:30\u202fPM', 'friday': '10:15\u202fAM–9:30\u202fPM', 'saturday': '10:15\u202fAM–9:30\u202fPM', 'sunday': '10:15\u202fAM–9:30\u202fPM'}",40.893577799999996,-74.2036504,American
138,Oyshi Halal Food Truck,3.9,"317 5th Ave, New York, NY 10001","{'monday': '10\u202fAM–3:30\u202fAM', 'tuesday': '10\u202fAM–3:30\u202fAM', 'wednesday': '10\u202fAM–3:30\u202fAM', 'thursday': '10\u202fAM–3:30\u202fAM', 'friday': '10\u202fAM–3:30\u202fAM', 'saturday': '10\u202fAM–3:30\u202fAM', 'sunday': '10\u202fAM–3:30\u202fAM'}",40.7471505,-73.985822,Halal
139,The Smokin' Sandy Pineapple Food Truck,5.0,"143 Bayside Dr, Point Lookout, NY 11569",,40.5941634,-73.57864479999999,Fast Food
141,Best Of Best Halal Truck,4.6,"31-80 Steinway St, Queens, NY 11103","{'monday': '10:30\u202fAM–4\u202fAM', 'tuesday': '10:30\u202fAM–4\u202fAM', 'wednesday': '10:30\u202fAM–4\u202fAM', 'thursday': '10:30\u202fAM–4\u202fAM', 'friday': '10:30\u202fAM–4\u202fAM', 'saturday': '10:30\u202fAM–4\u202fAM', 'sunday': '10:30\u202fAM–4\u202fAM'}",40.7594415,-73.9189179,Halal
143,King Of Falafel & Shawarma Food Truck,5.0,"229 Bedford Ave, Brooklyn, NY 11211","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': 'Closed', 'thursday': 'Closed', 'friday': 'Closed', 'saturday': '11\u202fAM–1\u202fAM', 'sunday': '11\u202fAM–10\u202fPM'}",40.7162174,-73.9593313,Middle Eastern
144,Roma’s Hot Dogs & Halal Food Truck,4.0,"Hazel St &, Jefry Ln, Bethpage, NY 11801","{'monday': 'Closed', 'tuesday': '10\u202fAM–4\u202fPM', 'wednesday': '10\u202fAM–4\u202fPM', 'thursday': '10\u202fAM–4\u202fPM', 'friday': '10\u202fAM–4\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.7514999,-73.5026393,Halal
145,Amazigh Food Truck,5.0,"114 W 41st St, Manhattan, NY 10036","{'monday': '11\u202fAM–4\u202fPM', 'tuesday': 'Closed', 'wednesday': '11\u202fAM–4\u202fPM', 'thursday': '11\u202fAM–4\u202fPM', 'friday': 'Closed', 'saturday': 'Closed', 'sunday': 'Closed'}",40.7544099,-73.98560359999999,Mediterranean
146,Halal G's Food Truck,4.6,"154 Fulton Ave, Hempstead, NY 11550","{'monday': '5\u202fPM–4\u202fAM', 'tuesday': '5\u202fPM–4\u202fAM', 'wednesday': '5\u202fPM–4\u202fAM', 'thursday': '5\u202fPM–4\u202fAM', 'friday': '5\u202fPM–4\u202fAM', 'saturday': '5\u202fPM–4\u202fAM', 'sunday': 'Closed'}",40.7068426,-73.6304179,Halal
147,Mi Amor Halal & Mexican Food Truck,2.9,"N 11th St, Brooklyn, NY 11249","{'monday': 'Closed', 'tuesday': '10–11:59\u202fAM', 'wednesday': '10–11:59\u202fAM', 'thursday': '10–11:59\u202fAM', 'friday': '10–11:59\u202fAM', 'saturday': '10–11:59\u202fAM', 'sunday': '10–11:59\u202fAM'}",40.7215938,-73.9580675,Halal
148,Roma’s Hot Dogs & Halal Food Truck,5.0,"Uniondale, NY 11590","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': 'Closed', 'thursday': 'Closed', 'friday': 'Closed', 'saturday': '10\u202fAM–5\u202fPM', 'sunday': '10\u202fAM–5\u202fPM'}",40.7407991,-73.5889351,Halal
151,Taqueria Cecilio Food Truck,4.7,"602 Pacific St, Brooklyn, NY 11217","{'monday': '1:30–11:30\u202fPM', 'tuesday': '1:30\u202fPM–12\u202fAM', 'wednesday': '1:30\u202fPM–12\u202fAM', 'thursday': '1:30\u202fPM–12\u202fAM', 'friday': '1:30\u202fPM–12\u202fAM', 'saturday': '1:30\u202fPM–12\u202fAM', 'sunday': '1:30\u202fPM–12\u202fAM'}",40.683005699999995,-73.9771754,Mexican
152,One Love,4.7,"Queens St &, Jackson Ave, Long Island City, NY 11101","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': '11\u202fAM–4\u202fPM', 'thursday': 'Closed', 'friday': '11\u202fAM–4\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.748025,-73.9397403,jamaican
153,Tacos y quesadillas Mexico,4.8,"988 8th Ave, New York, NY 10019","{'monday': '9\u202fAM–4\u202fAM', 'tuesday': '9\u202fAM–4\u202fAM', 'wednesday': '9\u202fAM–4\u202fAM', 'thursday': '9\u202fAM–4\u202fAM', 'friday': '9\u202fAM–4\u202fAM', 'saturday': '9\u202fAM–4\u202fAM', 'sunday': '9\u202fAM–4\u202fAM'}",40.7670896,-73.9821817,Mexican
154,Tacos Lupita,4.5,"1802 65th St, Brooklyn, NY 11204","{'monday': '11\u202fAM–2\u202fAM', 'tuesday': '11\u202fAM–2\u202fAM', 'wednesday': '11\u202fAM–2\u202fAM', 'thursday': '11\u202fAM–2\u202fAM', 'friday': '11\u202fAM–3\u202fAM', 'saturday': '11\u202fAM–3\u202fAM', 'sunday': '11\u202fAM–2\u202fAM'}",40.6189246,-73.9901265,Mexican
155,El Jarochito Mexican Food Truck,4.8,"4314 111th St 1st floor, Queens, NY 11368","{'monday': '11:30\u202fAM–2\u202fAM', 'tuesday': '11:30\u202fAM–2\u202fAM', 'wednesday': '11:30\u202fAM–2\u202fAM', 'thursday': '11:30\u202fAM–2\u202fAM', 'friday': '11:30\u202fAM–2\u202fAM', 'saturday': '11:30\u202fAM–2\u202fAM', 'sunday': '11:30\u202fAM–2\u202fAM'}",40.7494746,-73.8548974,Mexican
156,Takumi Taco,4.1,"97 W 32nd St, New York, NY 10001","{'monday': '6:30\u202fAM–7\u202fPM', 'tuesday': '6:30\u202fAM–7\u202fPM', 'wednesday': '6:30\u202fAM–7\u202fPM', 'thursday': '6:30\u202fAM–7\u202fPM', 'friday': '6:30\u202fAM–7\u202fPM', 'saturday': '8\u202fAM–7\u202fPM', 'sunday': '8\u202fAM–7\u202fPM'}",40.748480799999996,-73.98834339999999,Japanese
157,Williamsburg Halal Food (Bonjour Habibi),4.5,"249 Bedford Ave, Brooklyn, NY 11249","{'monday': '10\u202fAM–3:30\u202fAM', 'tuesday': '10\u202fAM–3:30\u202fAM', 'wednesday': '10\u202fAM–3:30\u202fAM', 'thursday': '10\u202fAM–3:30\u202fAM', 'friday': '10\u202fAM–4:30\u202fAM', 'saturday': '10\u202fAM–4:30\u202fAM', 'sunday': '10\u202fAM–3:30\u202fAM'}",40.715438299999995,-73.9602804,Halal
160,African Pot Eatery Food Truck,4.6,"1 Elizabeth Ave, Newark, NJ 07108","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': '1–10:30\u202fPM', 'thursday': '1–10:30\u202fPM', 'friday': '1–10:30\u202fPM', 'saturday': '1–10:30\u202fPM', 'sunday': 'Closed'}",40.7227491,-74.1881009,African
162,Zeze Cool Halal Food Truck,3.6,"Town Square Pl, Jersey City, NJ 07310",,40.726693,-74.0346197,Chicken
163,Kabayan Grill Food Truck,4.2,"New York, NY 10029",,40.7892735,-73.952558,filipino
164,Minturn Bridge Food Truck Park,4.9,"1155 NY-17A Suite 1, Greenwood Lake, NY 10925","{'monday': '11\u202fAM–7\u202fPM', 'tuesday': '11\u202fAM–8\u202fPM', 'wednesday': '11\u202fAM–8\u202fPM', 'thursday': '11\u202fAM–8\u202fPM', 'friday': '7\u202fAM–8\u202fPM', 'saturday': '7\u202fAM–8\u202fPM', 'sunday': '7\u202fAM–7\u202fPM'}",41.226127299999995,-74.2862564,American
165,La Sabrosura Latin Food (Food-truck),5.0,"Jersey City, NJ 07306",,40.734211599999995,-74.07163109999999,Spanish
167,Tacos y Quesadillas,4.5,"240 E 69th St, New York, NY 10065","{'monday': '11\u202fAM–10\u202fPM', 'tuesday': '11\u202fAM–10\u202fPM', 'wednesday': '11\u202fAM–10\u202fPM', 'thursday': '11\u202fAM–10\u202fPM', 'friday': '11\u202fAM–10\u202fPM', 'saturday': '11\u202fAM–10\u202fPM', 'sunday': '11\u202fAM–10\u202fPM'}",40.766946,-73.96010679999999,Mexican
168,Taqueria Cecilio Food Truck,4.7,"602 Pacific St, Brooklyn, NY 11217","{'monday': '1:30–11:30\u202fPM', 'tuesday': '1:30\u202fPM–12\u202fAM', 'wednesday': '1:30\u202fPM–12\u202fAM', 'thursday': '1:30\u202fPM–12\u202fAM', 'friday': '1:30\u202fPM–12\u202fAM', 'saturday': '1:30\u202fPM–12\u202fAM', 'sunday': '1:30\u202fPM–12\u202fAM'}",40.683005699999995,-73.9771754,Mexican
170,Fabis Tacos D.C.,4.9,"390 Grand St, New York, NY 10002","{'monday': '11\u202fAM–8\u202fPM', 'tuesday': '11\u202fAM–8\u202fPM', 'wednesday': '11\u202fAM–8\u202fPM', 'thursday': '11\u202fAM–8\u202fPM', 'friday': '11\u202fAM–8\u202fPM', 'saturday': '11\u202fAM–8\u202fPM', 'sunday': 'Closed'}",40.716291999999996,-73.98730909999999,Mexican
171,One Love,4.7,"Queens St &, Jackson Ave, Long Island City, NY 11101","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': '11\u202fAM–4\u202fPM', 'thursday': 'Closed', 'friday': '11\u202fAM–4\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed'}",40.748025,-73.9397403,jamaican
173,Tacos y quesadillas Mexico,4.8,"988 8th Ave, New York, NY 10019","{'monday': '9\u202fAM–4\u202fAM', 'tuesday': '9\u202fAM–4\u202fAM', 'wednesday': '9\u202fAM–4\u202fAM', 'thursday': '9\u202fAM–4\u202fAM', 'friday': '9\u202fAM–4\u202fAM', 'saturday': '9\u202fAM–4\u202fAM', 'sunday': '9\u202fAM–4\u202fAM'}",40.7670896,-73.9821817,Mexican
174,Tacos Lupita,4.5,"1802 65th St, Brooklyn, NY 11204","{'monday': '11\u202fAM–2\u202fAM', 'tuesday': '11\u202fAM–2\u202fAM', 'wednesday': '11\u202fAM–2\u202fAM', 'thursday': '11\u202fAM–2\u202fAM', 'friday': '11\u202fAM–3\u202fAM', 'saturday': '11\u202fAM–3\u202fAM', 'sunday': '11\u202fAM–2\u202fAM'}",40.6189246,-73.9901265,Mexican
176,El Jarochito Mexican Food Truck,4.8,"4314 111th St 1st floor, Queens, NY 11368","{'monday': '11:30\u202fAM–2\u202fAM', 'tuesday': '11:30\u202fAM–2\u202fAM', 'wednesday': '11:30\u202fAM–2\u202fAM', 'thursday': '11:30\u202fAM–2\u202fAM', 'friday': '11:30\u202fAM–2\u202fAM', 'saturday': '11:30\u202fAM–2\u202fAM', 'sunday': '11:30\u202fAM–2\u202fAM'}",40.7494746,-73.8548974,Mexican
178,Takumi Taco,4.1,"97 W 32nd St, New York, NY 10001","{'monday': '6:30\u202fAM–7\u202fPM', 'tuesday': '6:30\u202fAM–7\u202fPM', 'wednesday': '6:30\u202fAM–7\u202fPM', 'thursday': '6:30\u202fAM–7\u202fPM', 'friday': '6:30\u202fAM–7\u202fPM', 'saturday': '8\u202fAM–7\u202fPM', 'sunday': '8\u202fAM–7\u202fPM'}",40.748480799999996,-73.98834339999999,Japanese
179,Williamsburg Halal Food (Bonjour Habibi),4.5,"249 Bedford Ave, Brooklyn, NY 11249","{'monday': '10\u202fAM–3:30\u202fAM', 'tuesday': '10\u202fAM–3:30\u202fAM', 'wednesday': '10\u202fAM–3:30\u202fAM', 'thursday': '10\u202fAM–3:30\u202fAM', 'friday': '10\u202fAM–4:30\u202fAM', 'saturday': '10\u202fAM–4:30\u202fAM', 'sunday': '10\u202fAM–3:30\u202fAM'}",40.715438299999995,-73.9602804,Halal
180,Distrito18 Street Tacos,5.0,"300 Richardson St, Brooklyn, NY 11222","{'monday': '5\u202fPM–12\u202fAM', 'tuesday': '12\u202fAM–12\u202fPM', 'wednesday': '4–11:30\u202fPM', 'thursday': '4–10:30\u202fPM', 'friday': '4–11\u202fPM', 'saturday': '4–11\u202fPM', 'sunday': '1–8\u202fPM'}",40.719483499999996,-73.9396112,Fast Food
183,Minturn Bridge Food Truck Park,4.9,"1155 NY-17A Suite 1, Greenwood Lake, NY 10925","{'monday': '11\u202fAM–7\u202fPM', 'tuesday': '11\u202fAM–8\u202fPM', 'wednesday': '11\u202fAM–8\u202fPM', 'thursday': '11\u202fAM–8\u202fPM', 'friday': '7\u202fAM–8\u202fPM', 'saturday': '7\u202fAM–8\u202fPM', 'sunday': '7\u202fAM–7\u202fPM'}",41.226127299999995,-74.2862564,American
184,African Pot Eatery Food Truck,4.6,"1 Elizabeth Ave, Newark, NJ 07108","{'monday': 'Closed', 'tuesday': 'Closed', 'wednesday': '1–10:30\u202fPM', 'thursday': '1–10:30\u202fPM', 'friday': '1–10:30\u202fPM', 'saturday': '1–10:30\u202fPM', 'sunday': 'Closed'}",40.7227491,-74.1881009,African
186,Food Rockett,4.9,"565 Old Mill Rd, Baldwin, NY 11510",,40.6514072,-73.60539519999999,Mexican
